   Operation      Sample     Latency
1-i64-d0      0            1  1454672.00
1-i64-d0      0            2  1458125.80
1-i64-d0      0            3  1453785.40
1-i8-d0       0            1  1454886.20
1-i8-d0       0            2  1457784.60
1-i8-d0       0            3  1453841.80
100-i1-d0     0            1 40568355.60
100-i1-d0     0            2 40660869.80
100-i1-d0     0            3 40637349.20
100-i128-d0   0            1 39763103.00
100-i128-d0   0            2 39848283.00
100-i128-d0   0            3 39803948.60
100-i16-d0    0            1 51191836.00
100-i16-d0    0            2 50930980.00
100-i16-d0    0            3 51136739.40
100-i2-d0     0            1 60456658.60
100-i2-d0     0            2 60481113.40
100-i2-d0     0            3 60376057.60
100-i32-d0    0            1 44666793.00
100-i32-d0    0            2 44441848.20
100-i32-d0    0            3 44324647.60
100-i4-d0     0            1 58806916.60
100-i4-d0     0            2 58735038.20
100-i4-d0     0            3 58748359.00
100-i64-d0    0            1 40332822.00
100-i64-d0    0            2 40379043.60
100-i64-d0    0            3 40267745.80
100-i8-d0     0            1 54159244.40
100-i8-d0     0            2 54094817.80
100-i8-d0     0            3 54127174.80
11-i1-d0      0            1  5733763.80
11-i1-d0      0            2  5741973.40
11-i1-d0      0            3  5745685.40
11-i128-d0    0            1  5334376.80
11-i128-d0    0            2  5475348.40
11-i128-d0    0            3  5369118.00
11-i16-d0     0            1 10363016.20
11-i16-d0     0            2 10302285.20
11-i16-d0     0            3 10328582.60
11-i2-d0      0            1  8448609.60
11-i2-d0      0            2  8422262.80
11-i2-d0      0            3  8418644.60
11-i32-d0     0            1  9091697.40
11-i32-d0     0            2  9188476.80
11-i32-d0     0            3  9159299.40
11-i4-d0      0            1 10743974.00
11-i4-d0      0            2 10528330.20
11-i4-d0      0            3 10552107.40
11-i64-d0     0            1  6747008.40
11-i64-d0     0            2  6864592.00
11-i64-d0     0            3  6926156.40
11-i8-d0      0            1 11259643.00
11-i8-d0      0            2 11269358.60
11-i8-d0      0            3 11267253.20
121-i1-d0     0            1 48496574.60
121-i1-d0     0            2 48582123.60
121-i1-d0     0            3 48685011.20
121-i128-d0   0            1 47203574.40
121-i128-d0   0            2 47217395.00
121-i128-d0   0            3 47471898.80
121-i16-d0    0            1 59075559.60
121-i16-d0    0            2 59075454.00
121-i16-d0    0            3 59007946.00
121-i2-d0     0            1 61260060.00
121-i2-d0     0            2 61244823.40
121-i2-d0     0            3 61195108.40
121-i32-d0    0            1 46345683.00
121-i32-d0    0            2 46440037.40
121-i32-d0    0            3 46133030.00
121-i4-d0     0            1 59336198.00
121-i4-d0     0            2 59608581.00
121-i4-d0     0            3 59533749.80
121-i64-d0    0            1 47799522.80
121-i64-d0    0            2 48056857.40
121-i64-d0    0            3 47931738.40
121-i8-d0     0            1 57981588.20
121-i8-d0     0            2 58261856.20
121-i8-d0     0            3 58205788.80
14-i1-d0      0            1  6293201.80
14-i1-d0      0            2  6294336.80
14-i1-d0      0            3  6308617.80
14-i128-d0    0            1  5720103.00
14-i128-d0    0            2  5780022.60
14-i128-d0    0            3  5776901.80
14-i16-d0     0            1 12503871.00
14-i16-d0     0            2 12561239.40
14-i16-d0     0            3 12542423.20
14-i2-d0      0            1 11228652.80
14-i2-d0      0            2 11168222.80
14-i2-d0      0            3 11179705.40
14-i32-d0     0            1 10432106.20
14-i32-d0     0            2 10427638.20
14-i32-d0     0            3 10379665.40
