   Operation      Sample         Ops
read     0     138.1927        0.10
read     0     138.1927        0.00
read     0     138.1948        0.00
read     0     138.1999        0.00
read     0     138.2005        0.00
read     0     138.2141        0.00
read     0     138.2141        0.00
read     0     138.2141        0.00
read     0     138.2141        0.00
read     0     138.2141        0.00
read     0     138.2141        0.00
read     0     138.2141        0.00
read     0     138.2141        0.00
read     0     138.2300        0.00
read     0     138.2323        0.00
read     0     138.2413        0.00
read     0     138.2413        0.00
read     0     138.2413        0.00
read     0     138.2413        0.00
read     0     138.2413        0.00
read     0     138.2460        0.00
read     0     138.2641        0.00
read     0     138.2651        0.00
read     0     138.2798        0.10
read     0     138.2798        0.10
read     0     138.2798        0.00
read     0     138.2798        0.10
read     0     138.2798        0.10
read     0     138.2798        0.10
read     0     138.2798        0.10
read     0     138.2798        0.10
read     0     138.2848        0.10
read     0     138.2865        0.00
read     0     138.2874        0.10
read     0     138.2874        0.10
read     0     138.2874        0.00
read     0     138.2880        0.10
read     0     138.2963        0.00
read     0     138.3008        0.00
read     0     138.3188        0.00
read     0     138.3203        0.00
read     0     138.3285        0.00
read     0     138.3367        0.00
read     0     138.3465        0.00
read     0     138.3465        0.10
read     0     138.3465        0.00
read     0     138.3465        0.00
read     0     138.3465        0.00
read     0     138.3465        0.00
read     0     138.3465        0.00
read     0     138.3465        0.00
read     0     138.3521        0.00
read     0     138.3521        0.00
read     0     138.3521        0.00
read     0     138.3521        0.00
read     0     138.3530        0.10
read     0     138.3541        0.00
read     0     138.3608        0.00
read     0     138.3726        0.00
read     0     138.3871        0.10
read     0     138.3879        0.00
read     0     138.3930        0.00
read     0     138.4084        0.00
read     0     138.4124        0.00
read     0     138.4124        0.10
read     0     138.4124        0.00
read     0     138.4124        0.00
read     0     138.4124        0.10
read     0     138.4124        0.00
read     0     138.4124        0.10
read     0     138.4124        0.10
read     0     138.4169        0.00
read     0     138.4169        0.00
read     0     138.4169        0.10
read     0     138.4169        0.00
read     0     138.4210        0.00
read     0     138.4217        0.00
read     0     138.4251        0.00
read     0     138.4441        0.00
read     0     138.4548        0.00
read     0     138.4553        0.00
read     0     138.4572        0.00
read     0     138.4631        0.10
read     0     138.4631        0.10
read     0     138.4631        0.00
read     0     138.4631        0.00
read     0     138.4631        0.00
read     0     138.4631        0.10
read     0     138.4631        0.10
read     0     138.4631        0.10
read     0     138.4798        0.00
read     0     138.4801        0.10
read     0     138.4801        0.10
read     0     138.4801        0.10
read     0     138.4801        0.00
read     0     138.4889        0.10
read     0     138.4889        0.00
read     0     138.4893        0.00
read     0     138.5129        0.00
read     0     138.5129        0.00
read     0     138.5129        0.00
read     0     138.5129        0.00
read     0     138.5129        0.00
read     0     138.5129        0.00
read     0     138.5129        0.00
read     0     138.5129        0.00
read     0     138.5154        0.00
read     0     138.5214        0.00
read     0     138.5226        0.00
read     0     138.5227        0.00
read     0     138.5421        0.10
read     0     138.5421        0.10
read     0     138.5421        0.10
read     0     138.5421        0.00
read     0     138.5510        0.00
read     0     138.5541        0.00
read     0     138.5562        0.00
read     0     138.5566        0.00
read     0     138.5619        0.10
read     0     138.5619        0.10
read     0     138.5619        0.10
read     0     138.5619        0.00
read     0     138.5619        0.00
read     0     138.5619        0.00
read     0     138.5619        0.00
read     0     138.5619        0.00
read     0     138.5864        0.00
read     0     138.5890        0.00
read     0     138.5899        0.00
read     0     138.5906        0.00
read     0     138.6041        0.10
read     0     138.6041        0.10
read     0     138.6041        0.00
read     0     138.6041        0.00
read     0     138.6079        0.10
read     0     138.6079        0.10
read     0     138.6079        0.10
read     0     138.6079        0.10
read     0     138.6087        0.10
read     0     138.6094        0.00
read     0     138.6094        0.00
read     0     138.6101        0.10
read     0     138.6212        0.00
read     0     138.6254        0.10
read     0     138.6297        0.00
read     0     138.6320        0.00
read     0     138.6439        0.00
read     0     138.6439        0.00
read     0     138.6439        0.00
read     0     138.6439        0.00
read     0     138.6526        0.00
read     0     138.6537        0.10
read     0     138.6552        0.00
read     0     138.6602        0.00
read     0     138.6649        0.00
read     0     138.6649        0.10
read     0     138.6649        0.10
read     0     138.6649        0.10
read     0     138.6729        0.00
read     0     138.6741        0.10
read     0     138.6741        0.10
read     0     138.6776        0.00
read     0     138.6777        0.00
read     0     138.6777        0.10
read     0     138.6777        0.00
read     0     138.6778        0.00
read     0     138.6893        0.00
read     0     138.6951        0.10
read     0     138.6978        0.00
read     0     138.6980        0.00
read     0     138.7161        0.00
read     0     138.7219        0.00
read     0     138.7219        0.10
read     0     138.7219        0.00
read     0     138.7219        0.10
read     0     138.7219        0.00
read     0     138.7219        0.10
read     0     138.7219        0.10
read     0     138.7219        0.10
read     0     138.7228        0.00
read     0     138.7235        0.00
read     0     138.7297        0.10
read     0     138.7391        0.10
read     0     138.7409        0.10
read     0     138.7409        0.10
read     0     138.7411        0.00
read     0     138.7583        0.00
read     0     138.7593        0.10
read     0     138.7597        0.10
read     0     138.7649        0.00
read     0     138.7734        0.10
read     0     138.7788        0.00
read     0     138.7788        0.00
read     0     138.7788        0.10
read     0     138.7788        0.00
read     0     138.7788        0.00
read     0     138.7788        0.10
read     0     138.7788        0.10
read     0     138.7788        0.00
read     0     138.7818        0.10
read     0     138.7948        0.00
read     0     138.7947        0.20
read     0     138.7962        0.00
read     0     138.8004        0.00
read     0     138.8084        0.10
read     0     138.8084        0.10
read     0     138.8092        0.20
read     0     138.8158        0.20
read     0     138.8300        0.00
read     0     138.8305        0.00
read     0     138.8327        0.00
read     0     138.8364        0.00
read     0     138.8451        0.00
read     0     138.8499        0.00
read     0     138.8532        0.00
read     0     138.8532        0.00
read     0     138.8532        0.10
read     0     138.8532        0.00
read     0     138.8532        0.10
read     0     138.8532        0.00
read     0     138.8532        0.00
read     0     138.8532        0.10
read     0     138.8639        0.00
read     0     138.8662        0.00
read     0     138.8703        0.00
read     0     138.8724        0.10
read     0     138.8777        0.00
read     0     138.8777        0.00
read     0     138.8809        0.00
read     0     138.8843        0.00
read     0     138.8975        0.00
read     0     138.9018        0.00
read     0     138.9078        0.00
read     0     138.9081        0.00
read     0     138.9165        0.00
read     0     138.9194        0.00
read     0     138.9277        0.10
read     0     138.9277        0.00
read     0     138.9277        0.00
read     0     138.9277        0.00
read     0     138.9277        0.00
read     0     138.9277        0.00
read     0     138.9277        0.10
read     0     138.9277        0.00
read     0     138.9311        0.00
read     0     138.9350        0.00
read     0     138.9350        0.00
read     0     138.9373        0.00
read     0     138.9437        0.00
read     0     138.9453        0.00
read     0     138.9518        0.00
read     0     138.9548        0.00
read     0     138.9645        0.00
read     0     138.9726        0.00
read     0     138.9795        0.00
read     0     138.9828        0.10
read     0     138.9875        0.10
read     0     138.9880        0.00
read     0     138.9880        0.00
read     0     138.9904        0.00
read     0     138.9980        0.00
read     0     139.0007        0.10
read     0     139.0007        0.10
read     0     139.0007        0.00
read     0     139.0007        0.10
read     0     139.0007        0.00
read     0     139.0007        0.00
read     0     139.0007        0.00
read     0     139.0007        0.00
read     0     139.0080        0.00
read     0     139.0150        0.00
read     0     139.0202        0.00
read     0     139.0229        0.00
read     0     139.0258        0.00
read     0     139.0314        0.00
read     0     139.0394        0.00
read     0     139.0394        0.00
read     0     139.0434        0.00
read     0     139.0508        0.10
read     0     139.0576        0.00
read     0     139.0583        0.00
read     0     139.0612        0.00
read     0     139.0649        0.00
read     0     139.0682        0.10
read     0     139.0682        0.00
read     0     139.0682        0.10
read     0     139.0682        0.00
read     0     139.0682        0.10
read     0     139.0682        0.10
read     0     139.0682        0.00
read     0     139.0682        0.00
read     0     139.0791        0.00
read     0     139.0871        0.00
read     0     139.0904        0.00
read     0     139.0904        0.00
read     0     139.0943        0.10
read     0     139.0959        0.10
read     0     139.0971        0.00
read     0     139.0992        0.00
read     0     139.1099        0.00
read     0     139.1099        0.00
read     0     139.1099        0.00
