   Operation      Sample     Latency
68-i4-d0   0            1  7796017.00
68-i4-d0   0            2  7707864.00
68-i4-d0   0            3  7770517.40
68-i64-d0  0            1  6858028.80
68-i64-d0  0            2  6870150.80
68-i64-d0  0            3  7207236.20
68-i8-d0   0            1  6757548.40
68-i8-d0   0            2  6702264.40
68-i8-d0   0            3  6778952.20
8-i1-d0    0            1  1537972.00
8-i1-d0    0            2  1765379.20
8-i1-d0    0            3  1552063.40
8-i16-d0   0            1  1913806.60
8-i16-d0   0            2  1921545.80
8-i16-d0   0            3  1926816.00
8-i2-d0    0            1  2462928.80
8-i2-d0    0            2  2522383.20
8-i2-d0    0            3  2404157.40
8-i32-d0   0            1  1599105.60
8-i32-d0   0            2  1601993.20
8-i32-d0   0            3  1611434.80
8-i4-d0    0            1  4182539.60
8-i4-d0    0            2  4043041.20
8-i4-d0    0            3  4065996.20
8-i64-d0   0            1  1148825.60
8-i64-d0   0            2  1139630.20
8-i64-d0   0            3  1150733.60
8-i8-d0    0            1  2928043.80
8-i8-d0    0            2  2866477.60
8-i8-d0    0            3  2914558.40
80-i1-d0   0            1  8942958.00
80-i1-d0   0            2  8248749.80
80-i1-d0   0            3  8473969.20
80-i16-d0  0            1  6071051.40
80-i16-d0  0            2  6020026.40
80-i16-d0  0            3  6067584.80
80-i2-d0   0            1  9429992.80
80-i2-d0   0            2  8856334.20
80-i2-d0   0            3  9940056.20
80-i32-d0  0            1  5657595.40
80-i32-d0  0            2  5624848.20
80-i32-d0  0            3  5628410.60
80-i4-d0   0            1  7825433.00
80-i4-d0   0            2  7681701.80
80-i4-d0   0            3  7844035.60
80-i64-d0  0            1  7428836.40
80-i64-d0  0            2  7559954.20
80-i64-d0  0            3  7272768.00
80-i8-d0   0            1  6783450.00
80-i8-d0   0            2  6670989.40
80-i8-d0   0            3  6780480.80
   Operation      Sample     Latency
1-i1-d0   0            1  1450463.00
1-i1-d0   0            2  1465350.80
1-i1-d0   0            3  1451638.80
1-i16-d0  0            1  1453214.60
1-i16-d0  0            2  1452524.00
1-i16-d0  0            3  1470329.60
1-i2-d0   0            1  1446657.20
1-i2-d0   0            2  1452081.80
1-i2-d0   0            3  1462434.40
1-i32-d0  0            1  1466462.80
1-i32-d0  0            2  1456918.60
1-i32-d0  0            3  1449410.00
1-i4-d0   0            1  1451081.40
1-i4-d0   0            2  1456260.20
1-i4-d0   0            3  1455112.60
1-i64-d0  0            1  1451129.80
1-i64-d0  0            2  1453343.20
1-i64-d0  0            3  1455229.00
1-i8-d0   0            1  1454805.80
1-i8-d0   0            2  1455478.60
1-i8-d0   0            3  1453593.80
11-i1-d0  0            1  5723351.80
11-i1-d0  0            2  5709101.20
11-i1-d0  0            3  5721652.20
11-i16-d0 0            1 10156904.80
11-i16-d0 0            2  9876542.40
11-i16-d0 0            3 10100943.80
11-i2-d0  0            1  8459862.80
11-i2-d0  0            2  8470176.80
11-i2-d0  0            3  8481714.20
11-i32-d0 0            1  7502759.20
11-i32-d0 0            2  7493652.60
11-i32-d0 0            3  7586479.40
11-i4-d0  0            1 12092143.00
11-i4-d0  0            2 12021117.00
11-i4-d0  0            3 12060398.00
11-i64-d0 0            1  5705994.00
11-i64-d0 0            2  5775831.20
11-i64-d0 0            3  5725576.80
11-i8-d0  0            1 12232907.00
11-i8-d0  0            2 12285522.60
11-i8-d0  0            3 12220335.20
14-i1-d0  0            1  6311691.20
14-i1-d0  0            2  6300556.00
14-i1-d0  0            3  6301077.60
14-i16-d0 0            1 11379034.20
14-i16-d0 0            2 11372030.80
14-i16-d0 0            3 11379278.40
14-i2-d0  0            1 11229177.40
14-i2-d0  0            2 11186367.40
14-i2-d0  0            3 11217109.20
14-i32-d0 0            1  8065402.40
14-i32-d0 0            2  8068764.80
14-i32-d0 0            3  8044356.80
14-i4-d0  0            1 14508699.40
14-i4-d0  0            2 14322980.20
14-i4-d0  0            3 14426160.20
14-i64-d0 0            1  6060997.80
14-i64-d0 0            2  6049674.80
14-i64-d0 0            3  6055553.00
14-i8-d0  0            1 14122637.40
14-i8-d0  0            2 14481294.00
14-i8-d0  0            3 14522858.20
17-i1-d0  0            1  7751726.00
17-i1-d0  0            2  7755295.60
17-i1-d0  0            3  7739752.40
17-i16-d0 0            1 12411037.40
17-i16-d0 0            2 12441987.60
17-i16-d0 0            3 12502197.40
17-i2-d0  0            1 13245748.20
17-i2-d0  0            2 13292958.00
17-i2-d0  0            3 13284082.00
17-i32-d0 0            1  8611050.20
17-i32-d0 0            2  8538298.60
17-i32-d0 0            3  8609875.80
17-i4-d0  0            1 17267460.60
17-i4-d0  0            2 17261419.00
17-i4-d0  0            3 17403946.40
17-i64-d0 0            1  7204445.40
17-i64-d0 0            2  7231958.60
17-i64-d0 0            3  7196509.20
17-i8-d0  0            1 17071118.60
17-i8-d0  0            2 16901871.40
17-i8-d0  0            3 16991940.80
2-i1-d0   0            1  2284452.00
2-i1-d0   0            2  2261274.00
2-i1-d0   0            3  2263083.00
2-i16-d0  0            1  2609796.00
2-i16-d0  0            2  2640300.40
2-i16-d0  0            3  2650899.80
2-i2-d0   0            1  2250722.20
2-i2-d0   0            2  2246090.00
2-i2-d0   0            3  2274829.40
2-i32-d0  0            1  2628193.20
2-i32-d0  0            2  2621445.40
2-i32-d0  0            3  2636130.80
2-i4-d0   0            1  2259362.20
2-i4-d0   0            2  2250144.00
2-i4-d0   0            3  2251096.60
2-i64-d0  0            1  2422031.40
2-i64-d0  0            2  2432028.20
2-i64-d0  0            3  2419242.60
2-i8-d0   0            1  2607739.00
2-i8-d0   0            2  2621436.80
2-i8-d0   0            3  2577632.20
21-i1-d0  0            1  9343440.00
21-i1-d0  0            2  9305351.80
21-i1-d0  0            3  9327243.60
21-i16-d0 0            1 13910921.00
21-i16-d0 0            2 13973473.00
21-i16-d0 0            3 13866358.40
21-i2-d0  0            1 16331834.00
21-i2-d0  0            2 16312635.20
21-i2-d0  0            3 16337362.40
21-i32-d0 0            1  8918408.20
21-i32-d0 0            2  8937027.40
21-i32-d0 0            3  8938671.20
21-i4-d0  0            1 21158517.40
21-i4-d0  0            2 20967303.40
21-i4-d0  0            3 21088687.60
21-i64-d0 0            1 10664912.00
21-i64-d0 0            2 10692476.80
21-i64-d0 0            3 10667344.20
21-i8-d0  0            1 20617880.60
21-i8-d0  0            2 20292129.40
21-i8-d0  0            3 20556115.80
26-i1-d0  0            1 11850760.60
26-i1-d0  0            2 11879957.20
26-i1-d0  0            3 11888024.40
26-i16-d0 0            1 14072748.80
26-i16-d0 0            2 13905154.40
26-i16-d0 0            3 14038523.20
26-i2-d0  0            1 19737083.80
26-i2-d0  0            2 19612822.00
26-i2-d0  0            3 19596190.40
26-i32-d0 0            1 11715418.40
26-i32-d0 0            2 11752255.20
26-i32-d0 0            3 11808258.80
26-i4-d0  0            1 22991006.20
26-i4-d0  0            2 22727391.40
26-i4-d0  0            3 22856036.80
26-i64-d0 0            1 11741335.40
26-i64-d0 0            2 11694213.80
26-i64-d0 0            3 11764686.20
26-i8-d0  0            1 22619063.20
26-i8-d0  0            2 22476182.40
26-i8-d0  0            3 22448896.40
3-i1-d0   0            1  2607326.20
3-i1-d0   0            2  2605670.20
3-i1-d0   0            3  2597442.60
3-i16-d0  0            1  3915252.00
3-i16-d0  0            2  3969754.20
3-i16-d0  0            3  3970533.20
3-i2-d0   0            1  2615366.20
3-i2-d0   0            2  2605034.40
3-i2-d0   0            3  2590763.80
3-i32-d0  0            1  3579644.60
3-i32-d0  0            2  3564281.20
3-i32-d0  0            3  3527978.60
3-i4-d0   0            1  3384318.40
3-i4-d0   0            2  3382730.80
3-i4-d0   0            3  3359200.00
3-i64-d0  0            1  3181487.80
3-i64-d0  0            2  3166769.00
3-i64-d0  0            3  3168570.80
3-i8-d0   0            1  3897740.40
3-i8-d0   0            2  3898206.20
3-i8-d0   0            3  3881110.20
32-i1-d0  0            1 12880882.20
32-i1-d0  0            2 12866344.40
32-i1-d0  0            3 12891888.00
32-i16-d0 0            1 14975928.00
32-i16-d0 0            2 14910093.00
32-i16-d0 0            3 14994754.00
32-i2-d0  0            1 23557888.60
32-i2-d0  0            2 23472601.80
32-i2-d0  0            3 23614887.20
32-i32-d0 0            1 16188401.00
32-i32-d0 0            2 16301504.60
32-i32-d0 0            3 16288020.40
