   Operation      Sample         Ops
commit   0    3457.0863      743.40
commit   0    3468.8682      456.00
commit   0    3480.6773      563.80
commit   0    3493.1932      779.30
commit   0    3503.7748      623.60
commit   0    3513.2486       48.80
commit   0    3522.6757       66.80
commit   0    3539.0117     3024.90
commit   0    3548.5037       60.80
commit   0    3557.7619       42.80
commit   0    3571.7269     1348.20
commit   0    3583.2553     1893.10
commit   0    3592.8570       60.80
commit   0    3602.2193       54.80
commit   0    3618.3780     2959.00
commit   0    3627.8480       48.80
commit   0    3637.2400       66.80
commit   0    3653.3325     2941.00
commit   0    3662.6477       48.80
commit   0    3673.5557     1150.60
commit   0    3687.2422     1581.80
commit   0    3698.8209      623.60
commit   0    3710.6148      659.60
commit   0    3720.8253      641.60
commit   0    3732.4254      545.80
commit   0    3743.9227      647.60
commit   0    3755.7318      611.70
commit   0    3766.6260      659.60
commit   0    3778.6327      539.80
commit   0    3790.5197      755.40
commit   0    3801.7482      444.00
commit   0    3812.7309      527.90
commit   0    3821.9893       54.80
commit   0    3833.0236     1695.50
commit   0    3847.7332     1126.60
commit   0    3859.6581      731.40
commit   0    3870.0563      432.00
commit   0    3882.4485      683.50
commit   0    3894.5641      713.50
commit   0    3905.8491      557.80
commit   0    3916.8949     1102.70
commit   0    3926.3179       60.80
commit   0    3940.5852     1803.30
commit   0    3952.1759     1144.60
commit   0    3962.9910      563.80
commit   0    3972.1775       54.80
commit   0    3981.4237       42.80
commit   0    3997.9037     2485.90
commit   0    4009.0073     1019.10
commit   0    4021.6070      611.70
commit   0    4030.8652       54.80
commit   0    4040.1404       54.80
commit   0    4049.2372       48.80
commit   0    4065.2051     3024.90
commit   0    4075.8856      875.40
commit   0    4088.4762      917.10
commit   0    4100.6118      743.40
commit   0    4112.8432      647.60
commit   0    4123.7257      737.40
commit   0    4135.7326      520.50
commit   0    4147.7632      587.70
commit   0    4159.7642      671.60
commit   0    4170.4475      581.80
commit   0    4181.6830      677.60
commit   0    4192.6538      653.80
commit   0    4205.8823     1246.40
commit   0    4215.1345       42.80
commit   0    4228.2969     1540.00
commit   0    4240.3909      970.90
commit   0    4251.7771      557.80
commit   0    4262.8938      791.30
commit   0    4274.8908      875.10
commit   0    4283.9297       54.80
commit   0    4298.6603     1797.30
commit   0    4307.8678       48.80
commit   0    4317.0333       48.80
commit   0    4326.4922       42.80
commit   0    4342.9511     2905.10
commit   0    4356.0388     1042.80
commit   0    4365.5861       48.80
commit   0    4375.1378       48.80
commit   0    4384.2704       54.80
commit   0    4400.5825     1827.20
commit   0    4410.0146       48.80
commit   0    4419.3038       54.80
commit   0    4435.7298     2935.00
commit   0    4444.8144       60.70
commit   0    4454.0548       48.80
commit   0    4470.2053     3012.90
commit   0    4479.7310       84.70
commit   0    4488.8478       48.80
commit   0    4498.1861       78.70
commit   0    4514.1890     1779.30
commit   0    4523.6768       48.80
commit   0    4533.1312       54.80
commit   0    4549.1350     2234.50
commit   0    4558.5700       42.80
commit   0    4572.3882     1743.40
commit   0    4582.8890      569.80
commit   0    4595.1024      629.60
commit   0    4607.3029      701.50
commit   0    4619.2916      677.50
commit   0    4630.1129      599.70
commit   0    4642.1855      689.50
commit   0    4654.3898      533.80
commit   0    4666.2181      623.70
commit   0    4677.2667      671.80
commit   0    4688.9024     1006.90
commit   0    4701.3223      677.50
commit   0    4713.3172      773.40
commit   0    4725.3227      653.60
commit   0    4734.6550       49.00
commit   0    4747.9811     1066.80
commit   0    4760.0080      701.50
commit   0    4770.8313      617.60
commit   0    4782.0633     1258.40
commit   0    4794.7617      605.70
commit   0    4806.7356      761.40
commit   0    4817.6795      521.90
commit   0    4829.7792      677.60
commit   0    4841.5794     1270.40
commit   0    4853.8278      719.50
commit   0    4866.1940      701.50
commit   0    4876.7695      527.80
commit   0    4888.5190      737.50
commit   0    4900.5714      857.20
commit   0    4910.3867       60.80
commit   0    4919.9742       54.80
commit   0    4929.5270       43.80
commit   0    4947.0629     1587.70
commit   0    4958.4489      671.50
commit   0    4969.8111     1635.60
commit   0    4981.7182      683.60
commit   0    4993.8290     1114.70
commit   0    5003.4063       78.80
commit   0    5017.4398     2072.80
commit   0    5027.1922       48.80
commit   0    5036.8846       66.80
commit   0    5053.1399     3054.80
commit   0    5062.7006       60.90
commit   0    5074.7192      599.70
commit   0    5087.8100     2456.00
commit   0    5100.1520      677.60
commit   0    5112.2907      593.70
commit   0    5124.5799      605.70
commit   0    5135.3652      713.50
commit   0    5147.1863      503.90
commit   0    5159.1631      665.60
commit   0    5170.5353      479.90
commit   0    5182.3803      707.50
commit   0    5194.2591      887.10
commit   0    5206.1543      623.90
commit   0    5217.8100      647.60
commit   0    5229.1423      384.10
commit   0    5241.2650      629.60
commit   0    5253.5478      557.80
commit   0    5265.4139      617.70
commit   0    5276.1902      563.80
commit   0    5285.5593       60.80
commit   0    5300.1260     1785.30
commit   0    5309.8245       60.80
commit   0    5321.7235     1018.90
commit   0    5335.1912     1863.20
commit   0    5347.1742      570.00
commit   0    5357.8456      689.50
commit   0    5367.3565       60.80
commit   0    5376.7584       60.80
commit   0    5392.9958     2324.20
commit   0    5404.9689     1174.50
commit   0    5414.1612       48.80
commit   0    5423.3567       42.80
commit   0    5432.5448       54.80
commit   0    5450.6143     3060.80
commit   0    5462.9742      707.50
commit   0    5473.7774      917.10
commit   0    5485.7903      677.50
commit   0    5497.4557      713.50
commit   0    5509.4147      545.80
commit   0    5520.1111      719.50
commit   0    5532.0880      905.10
commit   0    5541.5438       66.80
commit   0    5550.7663       54.80
commit   0    5566.2221     2839.20
commit   0    5575.7939       54.80
commit   0    5585.1920       84.70
commit   0    5602.1828     3018.90
commit   0    5611.2816       36.80
commit   0    5620.9492       49.00
